GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,UniversiteService,80,0,0,0,13,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ChambreService,124,0,4,0,22,0,15,0,13,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,FoyerService,0,48,0,0,0,8,0,7,0,7
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ReservationService,263,0,34,0,47,0,31,0,11,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,BlocService,51,0,0,0,10,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,EtudiantService,51,0,0,0,10,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc,50,14,0,0,7,3,9,4,9,4
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite,40,14,0,0,6,3,7,4,7,4
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant.EtudiantBuilder,63,0,0,0,1,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer,47,17,0,0,6,4,8,5,8,5
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre,64,0,0,0,10,0,13,0,13,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant,78,0,0,0,11,0,15,0,15,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation,58,0,0,0,9,0,12,0,12,0
tpFoyer-17,tn.esprit.tpfoyer17,TpFoyer17Application,8,0,0,0,3,0,2,0,2,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ChambreController,62,0,0,0,12,0,12,0,12,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,BlocController,44,0,0,0,10,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ReservationController,47,0,0,0,9,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,EtudiantController,38,0,0,0,9,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,UniversiteController,40,0,0,0,8,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,FoyerController,34,0,0,0,8,0,7,0,7,0
tpFoyer-17,tn.esprit.tpfoyer17.configurations,SpringDocConfig,145,0,0,0,38,0,10,0,10,0
tpFoyer-17,tn.esprit.tpfoyer17.entities.enumerations,TypeChambre,21,0,0,0,4,0,1,0,1,0
